Participant_ID,Balanced_Accuracy,Macro_F1
101,0.775117825235924,0.800488809099652
102,0.571664874292113,0.58518850282494
103,0.701989432871098,0.739800920060488
104,0.660653788710078,0.646081484773449
105,0.779636571510242,0.821975701625479
106,0.890946548660287,0.865690222128063
107,0.930891863304654,0.936625018837579
108,0.725899955170866,0.742615394439667
109,0.763675727423763,0.676052226113307
110,0.811268624733474,0.737548235668536
111,0.831241846630393,0.834442750180372
112,0.854814532161044,0.872255767071674
113,0.868222220394024,0.865043508594159
114,0.827559534301999,0.786490123787999
115,0.878982049424596,0.871065229417101
116,0.821614852939727,0.855677336723217
117,0.856776314248267,0.785644618444092
118,0.751821040239247,0.667207784781468
119,0.882143316515822,0.889733325817609
120,0.863869201762755,0.847210009319384
121,0.932515166540279,0.923923441811702
122,0.69387528517854,0.707118499597714
123,0.894853163810812,0.903441043742645
124,0.705797648993908,0.718537544653608
125,0.887761042423845,0.724308841170076
126,0.659695105115765,0.734031979888333
127,0.793909675015332,0.792925913588717
128,0.915656210191003,0.789522420951661
129,0.88188383138012,0.899344822278398
130,0.643219794660405,0.651206915241327
131,0.94471257697311,0.939146781771912
132,0.683564275869165,0.698513579145277
133,0.758806943897486,0.755231859161048
134,0.632890554643217,0.65519540721723
135,0.759779469216954,0.66896922272571
136,0.828320422435157,0.825564639214167
137,0.865925505653767,0.899273236786133
138,0.846175551938152,0.868094898856022
139,0.836667110132994,0.831055899923578
140,0.907230292149502,0.906656727527528
141,0.778964151054554,0.792830758245392
142,0.540861983588002,0.537609644623233
143,0.761172033259697,0.767238659908196
144,0.847590702934627,0.867201678347406
145,0.706498938291277,0.660748120178895
146,0.711343682674052,0.714161919948073
147,0.848329793221139,0.862058637412735
148,0.802548537047669,0.825801443803031
149,0.805935858781387,0.837770934106035
150,0.672435340143447,0.666334659167604
151,0.828931792279594,0.849271956464988
